state	year	virus	epiweek_end	result_count
SAO PAULO	2023	flub	2023-09-09	5
SAO PAULO	2023	flub	2023-09-16	2
SAO PAULO	2023	flub	2023-09-23	1
SAO PAULO	2023	flub	2023-09-30	1
SAO PAULO	2023	flub	2023-10-07	2
SAO PAULO	2023	flub	2023-10-14	4
SAO PAULO	2023	flub	2023-10-21	3
SAO PAULO	2023	flub	2023-10-28	5
SAO PAULO	2023	flub	2023-11-04	5
SAO PAULO	2023	flub	2023-11-11	4
SAO PAULO	2023	flub	2023-11-18	2
SAO PAULO	2023	flub	2023-11-25	1
SAO PAULO	2023	flub	2023-12-02	1
SAO PAULO	2023	flub	2023-12-09	3
SAO PAULO	2023	flub	2023-12-16	3
SAO PAULO	2023	flub	2023-12-23	1
SAO PAULO	2023	flub	2023-12-30	3
SAO PAULO	2023	vsr	2023-01-07	132
SAO PAULO	2023	vsr	2023-01-14	108
SAO PAULO	2023	vsr	2023-01-21	93
SAO PAULO	2023	vsr	2023-01-28	92
SAO PAULO	2023	vsr	2023-02-04	84
SAO PAULO	2023	vsr	2023-02-11	107
SAO PAULO	2023	vsr	2023-02-18	153
SAO PAULO	2023	vsr	2023-02-25	171
SAO PAULO	2023	vsr	2023-03-04	206
SAO PAULO	2023	vsr	2023-03-11	262
SAO PAULO	2023	vsr	2023-03-18	287
SAO PAULO	2023	vsr	2023-03-25	308
SAO PAULO	2023	vsr	2023-04-01	339
SAO PAULO	2023	vsr	2023-04-08	298
SAO PAULO	2023	vsr	2023-04-15	286
SAO PAULO	2023	vsr	2023-04-22	215
SAO PAULO	2023	vsr	2023-04-29	182
SAO PAULO	2023	vsr	2023-05-06	172
SAO PAULO	2023	vsr	2023-05-13	141
SAO PAULO	2023	vsr	2023-05-20	112
SAO PAULO	2023	vsr	2023-05-27	105
SAO PAULO	2023	vsr	2023-06-03	125
SAO PAULO	2023	vsr	2023-06-10	92
SAO PAULO	2023	vsr	2023-06-17	86
SAO PAULO	2023	vsr	2023-06-24	115
SAO PAULO	2023	vsr	2023-07-01	119
SAO PAULO	2023	vsr	2023-07-08	123
SAO PAULO	2023	vsr	2023-07-15	95
SAO PAULO	2023	vsr	2023-07-22	57
SAO PAULO	2023	vsr	2023-07-29	50
SAO PAULO	2023	vsr	2023-08-05	88
SAO PAULO	2023	vsr	2023-08-12	77
SAO PAULO	2023	vsr	2023-08-19	62
